trial,state,val_pr_auc,val_roc_auc,best_iteration,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,colsample_bylevel,gamma,reg_alpha,reg_lambda,max_delta_step,score
3,COMPLETE,0.8069230796943689,0.9276587927949149,239,7,0.028199996263578355,1,0.9821099380386666,0.9845344148835518,0.9137788066524075,0.0027000447632122603,0.00028771223716237917,4.361266672848577,3,0.8069230796943689
7,COMPLETE,0.8069094455121755,0.9284437094759265,216,8,0.029848216834193905,1,0.9354114999591919,0.8680858047314277,0.8780532256184443,0.4208973818887616,0.0002228094453258927,1.2193932176005127,0,0.8069094455121755
18,COMPLETE,0.8067321431664373,0.9296074737104189,70,8,0.06619132686073173,6,0.9777283060896607,0.8403672075704991,0.8911838609038558,2.395900133112165,0.0013539605675920087,0.5861728841854084,1,0.8067321431664373
13,COMPLETE,0.8064726059550023,0.9285558569083069,376,7,0.020989177968712514,3,0.9571839354917484,0.8615602642356637,0.964788923372091,0.008129421396025458,0.0003011324553960914,4.470179098585317,4,0.8064726059550023
11,COMPLETE,0.8063250281287518,0.9295269869120574,177,9,0.026425608286767665,3,0.8198487564874118,0.8920611712954049,0.83303889113315,0.3192153450712583,0.0008450993680106731,1.298469761869771,1,0.8063250281287518
21,COMPLETE,0.806252492957015,0.9288160347570426,153,9,0.03151679997239884,4,0.9138699510142705,0.6679546902133281,0.7690935876559715,0.0012924940469380805,0.0014647397665758393,0.36388165865139016,1,0.806252492957015
24,COMPLETE,0.8060542430750712,0.9295843032155069,144,9,0.03417438664208683,9,0.9438808879873118,0.7416363163737064,0.8382162553905617,0.009487457240082112,0.0018801903794167189,1.0609203959308844,1,0.8060542430750712
33,COMPLETE,0.8059739107056094,0.9291435639810173,165,7,0.02993691550100192,10,0.8385255851845557,0.6901825740311861,0.9882504287656442,0.3923705504602059,0.00011789869947619828,0.37184419462897617,4,0.8059739107056094
12,COMPLETE,0.8055282482557988,0.9278034746920173,147,7,0.051718774585843244,1,0.9455205937133693,0.7728687921841273,0.9962192479963073,1.7123942506042624,0.00023386134309938135,1.7492787364490472,0,0.8055282482557988
35,COMPLETE,0.8054595338464693,0.9285842389295298,105,8,0.06103114742785799,7,0.7672124445006188,0.5988077312920623,0.8264372795492442,4.035777781841878,0.00013136885543079706,0.8312184298902286,1,0.8054595338464693
