trial,state,val_pr_auc,val_roc_auc,best_iteration,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,colsample_bylevel,gamma,reg_alpha,reg_lambda,max_delta_step,score
38,PRUNED,0.8517122536991586,,-1,9,0.024392354674963562,8,0.6506983825211745,0.8085353173900945,0.7686135969715335,0.7324204771256969,0.12427301454475487,7.145226283263183,3,0.8517122536991586
19,PRUNED,0.8514846006935477,,-1,6,0.04319521661561244,3,0.6973316168674929,0.8233624797038901,0.7915682777875701,0.0002842319054417298,0.00026856180396393314,0.9838110555612353,2,0.8514846006935477
3,COMPLETE,0.8513896765534721,0.9430903319203282,223,7,0.028199996263578355,1,0.9821099380386666,0.9845344148835518,0.9137788066524075,0.0027000447632122603,0.00028771223716237917,4.361266672848577,3,0.8513896765534721
31,PRUNED,0.8513534235750955,,-1,6,0.036646118184147314,5,0.6552085578169036,0.952220177940963,0.835450348212014,0.0317877060127218,0.003635468548029251,1.6303574674703216,0,0.8513534235750955
25,PRUNED,0.8512975845438066,,-1,9,0.029941118640081463,3,0.7638070066089784,0.5545136913968297,0.8991978543469317,0.339126609607972,0.0007590796909968675,3.204634413724026,1,0.8512975845438066
29,PRUNED,0.8511717828374676,,-1,5,0.07243264766149045,5,0.6710352675221638,0.5630239636260598,0.8653788823594004,2.303129504284999,0.002352123396471807,5.950116326267017,2,0.8511717828374676
28,PRUNED,0.8504389817444261,,-1,9,0.05615848787403991,10,0.6644762691613825,0.5615638615030455,0.738606376703752,0.9065912688879041,0.012025904106037854,3.477716606734242,2,0.8504389817444261
20,PRUNED,0.8503026744363887,,-1,7,0.03498871816715082,7,0.6528835292005856,0.837169360815528,0.9614506629935038,0.2688240405264641,0.17596857113670172,0.42632757072132615,2,0.8503026744363887
32,PRUNED,0.8502856598380695,,-1,7,0.020988753033364574,3,0.6875242093495026,0.879199139428514,0.8777619243473915,0.06374138513877811,0.0026430156741455344,1.471943524434829,3,0.8502856598380695
26,PRUNED,0.8502479952979943,,-1,6,0.035664298518485904,5,0.8470557507914998,0.5729527593325707,0.8043238203207821,1.3957726454348984,0.0008552131253560637,1.8726110343958424,2,0.8502479952979943
33,PRUNED,0.8499323214162139,,-1,8,0.021384544192955643,6,0.657084076713207,0.7592198148290484,0.7765658836422301,0.20847448653718853,0.0001224846293967313,1.418975417139198,1,0.8499323214162139
7,PRUNED,0.8496123671093534,,-1,8,0.029848216834193905,1,0.9354114999591919,0.8680858047314277,0.8780532256184443,0.4208973818887616,0.0002228094453258927,1.2193932176005127,0,0.8496123671093534
1,COMPLETE,0.849394290619669,0.9418358710495442,190,3,0.1411758906434134,9,0.7243186887373967,0.6318212352431953,0.6325320294340453,0.002689212824736888,0.02922905212920092,1.625484695859972,2,0.849394290619669
4,COMPLETE,0.8490200222547628,0.9415754380422434,437,3,0.05424255377737472,1,0.9682621407275738,0.6664509917200077,0.8481350279592919,0.0029155533757373392,0.02778331300797555,2.5466286484226126,1,0.8490200222547628
15,PRUNED,0.8488425413253755,,-1,9,0.04299878398001184,7,0.7498151774396321,0.8698943791011955,0.6799578426562856,1.4500944082849987,0.012300296279491122,7.984648767771322,3,0.8488425413253755
13,PRUNED,0.8386836495221699,,-1,4,0.022284833219566452,4,0.6801327522191459,0.7580175253127188,0.8003947244007621,0.08331545852766421,0.00012287886782637032,2.8501540752467784,0,0.8386836495221699
